From,To,Assignment Name,Value,Enabled
,iCLK_50,Location,PIN_AD15,Yes
,PS2_KBCLK,Location,PIN_F24,Yes
,PS2_KBDAT,Location,PIN_E24,Yes
,oUART_TXD,Location,PIN_E21,Yes
,iUART_RXD,Location,PIN_D21,Yes
,oLEDR[0],Location,PIN_AJ6,Yes
,oLEDR[1],Location,PIN_AK5,Yes
,oLEDR[2],Location,PIN_AJ5,Yes
,oLEDR[3],Location,PIN_AJ4,Yes
,oLEDR[4],Location,PIN_AK3,Yes
,oLEDR[5],Location,PIN_AH4,Yes
,oLEDR[6],Location,PIN_AJ3,Yes
,oLEDR[7],Location,PIN_AJ2,Yes
,oLEDR[8],Location,PIN_AH3,Yes
,oLEDR[9],Location,PIN_AD14,Yes
,oLEDR[10],Location,PIN_AC13,Yes
,oLEDR[11],Location,PIN_AB13,Yes
,oLEDR[12],Location,PIN_AC12,Yes
,oLEDR[13],Location,PIN_AB12,Yes
,oLEDR[14],Location,PIN_AC11,Yes
,oLEDR[15],Location,PIN_AD9,Yes
,oLEDR[16],Location,PIN_AD8,Yes
,oLEDR[17],Location,PIN_AJ7,Yes
,oLEDG[0],Location,PIN_W27,Yes
,oLEDG[1],Location,PIN_W25,Yes
,oLEDG[2],Location,PIN_W23,Yes
,oLEDG[3],Location,PIN_Y27,Yes
,oLEDG[4],Location,PIN_Y24,Yes
,oLEDG[5],Location,PIN_Y23,Yes
,oLEDG[6],Location,PIN_AA27,Yes
,oLEDG[7],Location,PIN_AA24,Yes
,oLEDG[8],Location,PIN_AC14,Yes
,iSW[0],Location,PIN_AA23,Yes
,iSW[1],Location,PIN_AB26,Yes
,iSW[2],Location,PIN_AB25,Yes
,iSW[3],Location,PIN_AC27,Yes
,iSW[4],Location,PIN_AC26,Yes
,iSW[5],Location,PIN_AC24,Yes
,iSW[6],Location,PIN_AC23,Yes
,iSW[7],Location,PIN_AD25,Yes
,iSW[8],Location,PIN_AD24,Yes
,iSW[9],Location,PIN_AE27,Yes
,iSW[10],Location,PIN_W5,Yes
,iSW[11],Location,PIN_V10,Yes
,iSW[12],Location,PIN_U9,Yes
,iSW[13],Location,PIN_T9,Yes
,iSW[14],Location,PIN_L5,Yes
,iSW[15],Location,PIN_L4,Yes
,iSW[16],Location,PIN_L7,Yes
,iSW[17],Location,PIN_L8,Yes
,iKEY[0],Location,PIN_T29,Yes
,iKEY[1],Location,PIN_T28,Yes
,iKEY[2],Location,PIN_U30,Yes
,iKEY[3],Location,PIN_U29,Yes
,DRAM_DQ[0],Location,PIN_AC1,Yes
,DRAM_DQ[1],Location,PIN_AC2,Yes
,DRAM_DQ[10],Location,PIN_AF2,Yes
,DRAM_DQ[11],Location,PIN_AF3,Yes
,DRAM_DQ[12],Location,PIN_AG2,Yes
,DRAM_DQ[13],Location,PIN_AG3,Yes
,DRAM_DQ[14],Location,PIN_AH1,Yes
,DRAM_DQ[15],Location,PIN_AH2,Yes
,DRAM_DQ[16],Location,PIN_U1,Yes
,DRAM_DQ[17],Location,PIN_U2,Yes
,DRAM_DQ[18],Location,PIN_U3,Yes
,DRAM_DQ[19],Location,PIN_V2,Yes
,DRAM_DQ[2],Location,PIN_AC3,Yes
,DRAM_DQ[20],Location,PIN_V3,Yes
,DRAM_DQ[21],Location,PIN_W1,Yes
,DRAM_DQ[22],Location,PIN_W2,Yes
,DRAM_DQ[23],Location,PIN_W3,Yes
,DRAM_DQ[24],Location,PIN_Y1,Yes
,DRAM_DQ[25],Location,PIN_Y2,Yes
,DRAM_DQ[26],Location,PIN_Y3,Yes
,DRAM_DQ[27],Location,PIN_AA1,Yes
,DRAM_DQ[28],Location,PIN_AA2,Yes
,DRAM_DQ[29],Location,PIN_AA3,Yes
